name,sector,priority,website,email,city,source,validation_status,notes
Telfaz11,Media production / entertainment studio,1,https://telfaz11.com/contact,info@telfaz11.com,Riyadh,sourcing-ksa4,MX_PENDING,Head of Marketing / Senior Marketing Manager | cv:generic
AFLAM Productions,Film & TV production house,1,http://www.aflamproductions.com/home,epic@aflamproductions.com,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing / Business Development Manager | cv:generic
TRACCS,Public relations & communications,1,https://traccs.net/get-in-touch/,faisal.alabdali@traccs.net,Jeddah,sourcing-ksa4,MX_PENDING,Senior Account Director / Digital Marketing Lead | cv:generic
W7Worldwide,Public relations & strategic communications,1,https://w7worldwide.com/,info@w7worldwide.com,Jeddah,sourcing-ksa4,MX_PENDING,Senior Digital Marketing / Communications Manager | cv:generic
MPR (Middle East Public Relations),Public relations agency,1,https://mpr.com.sa/,business@mpr.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing / PR Account Director | cv:generic
Jummar PR,Public relations consultancy,1,https://jummarpr.com/,amr@jummar.co,Riyadh,sourcing-ksa4,MX_PENDING,Senior Communications / Marketing Consultant | cv:generic
PR Arabia,Public relations & events firm,1,https://www.prarabia.me/,contact@prarabia.me,Jeddah,sourcing-ksa4,MX_PENDING,Senior Marketing / PR Manager | cv:generic
Riyadh Exhibitions Company (REC),Trade fairs & exhibitions organizer,1,https://www.recexpo.com/en/contact.asp,info@recexpo.com,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Events/Exhibitions) | cv:generic
1st Arabia Tradeshows & Conferences,Exhibitions & conferences organizer,1,https://1starabia.com/,info@1starabia.com,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Events) | cv:generic
Al-Harithy Company for Exhibitions (ACE),Exhibitions organizer,1,https://cgijeddah.gov.in/web_files/459813902-Calender-ACE-Exhibitions-2016.pdf,ace@acexpos.com,Jeddah,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Exhibitions) | cv:generic
Dhahran Expo (DIEC),Exhibition centre & events organizer,1,https://www.dhahranexpo.com.sa/contact.aspx,info@diec.com.sa,Dammam/Khobar,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Exhibitions) | cv:generic
Exhibition Services (Al Smari Group),Exhibition stands & event services,1,https://www.exhibitionservices.net/contact,sales@exhibitionservices.net,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing / Business Development Manager | cv:generic
Prolines,Exhibition stand design & digital agency,1,https://prolines.sa/about-exhibition/,info@prolines.sa,Jeddah,sourcing-ksa4,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Eventfull,Event management & brand experiences,1,https://eventfull.sa/,info@eventfull.sa,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing / Client Services Manager | cv:generic
Eventana,Event management & brand activation,1,https://eventana.net/,info@eventana.net,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Events) | cv:generic
EVEX,Event management,1,https://evex.sa/,info@evex.sa,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Events) | cv:generic
Saudi Event Management,Event management & production,1,https://saudieventmanagement.com/,infosaudieventmanagement@gmail.com,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager (Events) | cv:generic
