name,sector,priority,website,email,city,source,validation_status,notes
Prezlab,Presentation & Creative Design Agency,1,https://prezlab.com/contact/,Careers@prezlab.com,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Digital Marketing / Account Director | cv:generic
Fullstop Advertising,Creative Advertising Agency,1,http://fullstop.sa/,hireme@fullstop.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Marketing / Account Director | cv:generic
Brand Lounge,Brand Consultancy,1,https://brandloungeme.com/contact/,info@brandloungeme.com,Riyadh,verified-email-workflow-2,MX_PENDING,Brand Strategy / Marketing Lead | cv:generic
Bassmat Digital Agency,Digital Marketing Agency,1,https://www.bassmat.com/,hi@bassmat.com,Riyadh,verified-email-workflow-2,MX_PENDING,Head of Digital / Senior Marketing Manager | cv:generic
CreativeBlend,Creative & Branding Agency,1,https://www.creativeblend.com.sa/,hr@creativeblend.com.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Marketing Manager | cv:generic
PENCIL,Creative Branding & Digital Agency,1,https://pencil.sa/,hello@pencil.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Account Director / Digital Marketing Lead | cv:generic
Global Digital Creative (GDC),Advertising & Digital Agency,1,https://www.gdc-graphics.com/,sales@gdc-graphics.com,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Digital Wasfa,Digital Marketing Agency,1,https://digitalwasfa.com/,info@digitalwasfa.com,Riyadh,verified-email-workflow-2,MX_PENDING,Head of Digital / SEO & Ads Lead | cv:generic
Red Impact (Redimpact Arabia),Creative Advertising Agency,1,https://redimpactarabia.com/contact-us.php,info@redimpactarabia.com,Jeddah,verified-email-workflow-2,MX_PENDING,Senior Marketing / Account Director | cv:generic
MAZ NEXA,Branding & Creative Agency,1,https://www.maznexa.sa/en/branding-agency-riyadh,support@maznexa.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Marketing Manager | cv:generic
RAM,Strategic Creative Agency,1,https://ram.sa/,hello@ram.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Brand Strategy / Marketing Lead | cv:generic
Millimeter Creative Agency,Branding & Communication Agency,1,https://millimeter.agency/,hello@millimeter.agency,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Marketing Manager | cv:generic
