name,sector,priority,website,email,city,source,validation_status,notes
PayTabs,Fintech (payments),1,https://ai.paytabs.com/en/career/,hrdept@paytabs.com,Al Khobar,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Innosoft,IT services / software house,1,https://is.sa/contact,jobs@innosoft.sa,Dhahran,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:generic
Geidea,Fintech (payments),1,https://www.geidea.net/,contacts@geidea.net,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Marketing Manager | cv:generic
Lendo,Fintech (SME lending),1,https://www.lendo.sa/en/contact,support@lendo.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Events/PR & Digital Marketing (active marketing hiring on jobs.lendo.sa) | cv:generic
Foodics,SaaS (restaurant tech & fintech),1,https://www.foodics.com/contact/,info@foodics.com,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Growth/Digital Marketing Manager | cv:generic
Mozn,AI / fintech (fraud & compliance),1,https://mozn.sa,info@mozn.ai,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Moyasar,Fintech (payment gateway),1,https://moyasar.com/en/,info@moyasar.com,Riyadh,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:generic
Drahim,Fintech (personal finance app),1,https://drahim.sa,contact@drahim.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Growth/Digital Marketing Lead | cv:generic
Penny Software,SaaS (procurement),1,https://penny.co/contact-us/,info@penny.co,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Alraedah Digital Solutions,Fintech (SME financing),1,https://alraedah.sa/contact,care@alraedah.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Funding Souq,Fintech (SME lending marketplace),1,https://fundingsouq.com/sa/en/contact-us,support@fundingsouq.com,Riyadh,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:generic
